id,repeatProbability
53041103,0.016
53098486,0.144
53120801,0.118
53257670,0.206
53280850,0.048
53404104,0.214
53593836,0.058
53638549,0.01
53724690,0.518
53879707,0.146
53885141,0.14
53899367,0.028
54001770,0.004
54174570,0.052
54181077,0.12
54244565,0.058
54371887,0.094
54382575,0.064
54396440,0.524
54536172,0.014
54590006,0.128
54612729,0.082
54675558,0.006
54678988,0.08
54706842,0.04
54786312,0.144
54877654,0.114
54887182,0.078
54888166,0.104
55054099,0.1
55224643,0.162
55233603,0.084
55304581,0.202
55308708,0.058
55319724,0.186
55489245,0.172
55495293,0.216
55640032,0.422
55701436,0.096
55710392,0.098
55712353,0.03
55724905,0.286
55810929,0.092
55901143,0.062
55964098,0.08
56114316,0.15
56211996,0.202
56486066,0.08
56544981,0.364
56661209,0.036
56802105,0.09
56811020,0.122
56914425,0.066
56987029,0.064
57039866,0.158
57044075,0.196
57147488,0.014
57172147,0.38
57269030,0.088
57272357,0.138
57315609,0.062
57340646,0.636
57367164,0.07
57426577,0.082
57513964,0.008
57539670,0.04
57553266,0.098
57574907,0.096
57581720,0.078
57612433,0.092
57834619,0.064
57897266,0.434
58077382,0.096
58161301,0.152
58237989,0.35
58330353,0.052
58524246,0.1
58558323,0.09
58814206,0.028
58867493,0.054
58891410,0.092
59120754,0.118
59150399,0.054
59252232,0.052
59370197,0.018
59469484,0.468
59572755,0.122
59574114,0.094
59600890,0.048
59638916,0.07
59735577,0.018
59928376,0.294
60235497,0.118
60283133,0.104
60321911,0.068
60461023,0.034
60548896,0.004
60755624,0.088
60761302,0.06
60825309,0.192
60983202,0.116
61094869,0.058
61109871,0.06
61142178,0.038
61196030,0.008
61296212,0.04
61322289,0.202
61366710,0.036
61390454,0.182
61416624,0.11
61444033,0.108
61486412,0.084
61599063,0.134
61933479,0.186
61989333,0.022
62102735,0.054
62310326,0.076
62407885,0.132
62426499,0.044
62496996,0.012
62577743,0.05
62611006,0.082
62673601,0.014
62743057,0.008
62877041,0.18
62995056,0.136
63007083,0.054
63019458,0.186
63318034,0.048
63336621,0.07
63341538,0.144
63532753,0.396
63575541,0.234
63585470,0.012
63626446,0.008
63707754,0.026
63866464,0.056
63976577,0.15
64169538,0.066
64233884,0.126
64272407,0.008
64532763,0.172
64872069,0.146
64960358,0.108
65173941,0.664
65307069,0.092
65329794,0.128
65487565,0.028
65538823,0.09
65756156,0.014
66163784,0.08
66194616,0.014
66221175,0.056
66258590,0.22
66303204,0.14
66448637,0.06
66503578,0.144
66612145,0.096
66614778,0.228
66650733,0.108
66814830,0.044
66929462,0.026
66966448,0.116
67079016,0.04
67086430,0.072
67133701,0.266
67306121,0.042
67339823,0.14
67388625,0.132
67513296,0.044
67724271,0.042
67803905,0.066
67815367,0.068
68093886,0.344
68185264,0.298
68188965,0.032
68216359,0.068
68342007,0.014
68382868,0.12
68435096,0.042
68470926,0.12
68517155,0.48
68681837,0.238
68686456,0.054
68925006,0.102
69053255,0.064
69152657,0.088
69167658,0.052
69172169,0.376
69461393,0.102
69495518,0.22
69507993,0.038
69675741,0.068
69808860,0.054
69818569,0.132
69853336,0.018
69956833,0.02
70072294,0.04
70128172,0.046
70455180,0.362
70462513,0.126
70463479,0.106
70535868,0.25
70580005,0.024
70607577,0.064
70653096,0.004
70697900,0.136
70765113,0.036
70801415,0.148
70834566,0.038
70850323,0.14
71011594,0.06
71040590,0.03
71108488,0.078
71113475,0.044
71121618,0.2
71141645,0.044
71298343,0.008
71311112,0.006
71314426,0.072
71426296,0.286
71680347,0.088
71722690,0.036
71781057,0.16
71805275,0.118
71806613,0.078
71881849,0.056
71933039,0.114
71976236,0.12
72353384,0.056
72473953,0.146
72475898,0.096
72670685,0.09
72870265,0.044
72878052,0.174
72906560,0.134
72943196,0.128
72960368,0.056
72965766,0.234
73218933,0.01
73269543,0.04
73399387,0.008
73442225,0.09
73486214,0.1
73507112,0.13
73544854,0.072
73546997,0.126
73660439,0.052
73668079,0.078
73850140,0.16
73895490,0.074
73925987,0.066
73958837,0.454
74144834,0.17
74837714,0.34
74839067,0.666
74866605,0.066
74953910,0.058
75073354,0.614
75178587,0.058
75439019,0.172
75476003,0.148
75555091,0.064
75671702,0.122
75677935,0.45
75683708,0.026
75747032,0.122
75894770,0.02
76008522,0.104
76011413,0.058
76119328,0.244
76122242,0.094
76155746,0.004
76473957,0.034
76534475,0.346
76540066,0.078
76711931,0.022
76895949,0.172
76991480,0.282
77041700,0.194
77067233,0.018
77169013,0.052
77225749,0.054
77249144,0.026
77322805,0.054
77368715,0.066
77410681,0.12
77448402,0.018
77608607,0.126
77791443,0.474
77816389,0.366
77964334,0.024
78057763,0.19
78087333,0.16
78087666,0.004
78270379,0.072
78756467,0.154
78918675,0.014
78964240,0.064
79036770,0.056
79504758,0.028
79526178,0.08
79732226,0.2
79740809,0.06
79843628,0.35
79945060,0.246
79959392,0.082
80012927,0.132
80063680,0.1
80257192,0.072
80337071,0.072
80374352,0.152
80415084,0.118
80629938,0.204
80637511,0.16
80699999,0.018
80700561,0.016
80787894,0.11
80802693,0.024
81020106,0.474
81026544,0.02
81109637,0.02
81242696,0.138
81488812,0.416
81520119,0.024
81564970,0.352
81649178,0.178
81848970,0.054
81966679,0.082
82073757,0.034
82274425,0.14
82282315,0.108
82395989,0.058
82604535,0.078
82686601,0.008
82745965,0.078
82793956,0.062
82834562,0.054
82853199,0.148
82987540,0.008
83087396,0.02
83388725,0.088
83438163,0.1
83600209,0.046
83636976,0.166
83679506,0.014
83710599,0.124
83714852,0.014
83845536,0.102
83860729,0.078
83861741,0.258
83913150,0.036
83938442,0.152
83957992,0.064
84172665,0.128
84187287,0.41
84196639,0.166
84407335,0.022
84489696,0.028
84497385,0.438
84538207,0.1
84623847,0.084
84841861,0.08
84851927,0.078
84914367,0.126
85000486,0.478
85027363,0.026
85054075,0.188
85149094,0.278
85212757,0.068
85242950,0.026
85358490,0.104
85651732,0.004
85674257,0.024
85709345,0.152
85835304,0.166
85851216,0.096
86017761,0.018
86110264,0.168
86171654,0.122
86228042,0.11
86237887,0.03
86482671,0.05
86509830,0.096
86513418,0.03
86668977,0.512
86722822,0.08
86770843,0.128
86829188,0.176
86880128,0.128
86913684,0.068
87134722,0.072
87332610,0.016
87385264,0.46
87415235,0.078
87423533,0.04
87434186,0.056
87452255,0.014
87480877,0.204
87553372,0.788
87731076,0.096
87789095,0.11
87823426,0.11
88068513,0.02
88119323,0.028
88254015,0.102
88312361,0.066
88345121,0.094
88347147,0.034
88371978,0.118
88404019,0.114
88542039,0.036
88545027,0.142
88555468,0.026
88670747,0.402
88704495,0.066
88718571,0.12
89043016,0.146
89655569,0.042
89804101,0.008
90043887,0.098
90373362,0.132
90413696,0.058
90486190,0.038
90596464,0.138
90632957,0.154
90786210,0.068
91006979,0.168
91057678,0.122
91099035,0.084
91466094,0.084
91566164,0.03
91605143,0.206
91652959,0.062
91666672,0.124
91859572,0.124
91883639,0.236
91916020,0.118
92076370,0.024
92439029,0.122
92486410,0.126
92550110,0.092
92559832,0.072
92584515,0.08
92679802,0.016
92795637,0.094
92818841,0.186
92885051,0.084
93047504,0.52
93143520,0.206
93225978,0.096
93334672,0.094
93505294,0.114
93752475,0.108
93765042,0.042
93937606,0.378
94182865,0.29
94244413,0.284
94297450,0.044
94340788,0.056
94389297,0.118
94511459,0.024
94657486,0.058
94664056,0.176
94771597,0.072
94908846,0.106
94953922,0.046
95020704,0.136
95067021,0.016
95106087,0.068
95138692,0.076
95476141,0.03
95508708,0.112
95525203,0.042
95696226,0.096
95735718,0.048
95777854,0.116
95904403,0.014
96128621,0.056
96202663,0.056
96384694,0.156
96497792,0.024
96648193,0.338
96654400,0.012
96664186,0.206
96671064,0.06
96689145,0.194
96701568,0.144
96706442,0.404
96714351,0.164
96717635,0.484
96719338,0.118
96733139,0.072
96737059,0.056
96745376,0.052
96747417,0.172
96765002,0.038
96777532,0.114
96797081,0.074
96801183,0.018
96813269,0.028
96822789,0.022
96841999,0.088
96847578,0.084
96849591,0.02
96851427,0.25
96869507,0.168
96876793,0.58
96886701,0.094
96896138,0.114
96898693,0.04
96903234,0.082
96909080,0.058
96932290,0.03
96936990,0.04
96956247,0.108
96979058,0.134
96987489,0.344
96994347,0.162
96995125,0.304
97015989,0.036
97021154,0.026
97024277,0.044
97042855,0.024
97044090,0.398
97047872,0.216
97048686,0.126
97050374,0.504
97057408,0.032
97071696,0.088
97088744,0.11
97110346,0.236
97115879,0.07
97134926,0.084
97152978,0.106
97156185,0.094
97161489,0.032
97163127,0.02
97170143,0.084
97171012,0.068
97173003,0.056
97183099,0.148
97185083,0.194
97199571,0.174
97200995,0.228
97205885,0.058
97217165,0.08
97234559,0.038
97236058,0.28
97238000,0.108
97254735,0.022
97259256,0.17
97272036,0.204
97275026,0.03
97288216,0.032
97293322,0.012
97309678,0.178
97314402,0.108
97344289,0.078
97355506,0.048
97361668,0.112
97369817,0.132
97375053,0.036
97377953,0.104
97414236,0.116
97417735,0.784
97428052,0.414
97434636,0.084
97456676,0.07
97458230,0.098
97463544,0.024
97468082,0.416
97468978,0.056
97477490,0.018
97483202,0.024
97492209,0.066
97494329,0.052
97500419,0.19
97504219,0.058
97511731,0.19
97514254,0.296
97527218,0.062
97529709,0.11
97530106,0.146
97531492,0.416
97547735,0.06
97559773,0.4
97559954,0.084
97569282,0.04
97574099,0.07
97574112,0.09
97607323,0.204
97615109,0.142
97616883,0.048
97633715,0.656
97635958,0.086
97645708,0.236
97661544,0.014
97664263,0.028
97667024,0.086
97669999,0.06
97671336,0.592
97671517,0.058
97674711,0.22
97676374,0.084
97680900,0.106
97697018,0.114
97703003,0.006
97724049,0.238
97724346,0.188
97752092,0.054
97754530,0.168
97760033,0.646
97763155,0.068
97771034,0.022
97771975,0.068
97776300,0.03
97781522,0.028
97782380,0.148
97808254,0.072
97813287,0.004
97815056,0.01
97816928,0.064
97821898,0.024
97822922,0
97844342,0.262
97847100,0.12
97847896,0.294
97854933,0.122
97862736,0.148
97882424,0.072
97893633,0.056
97894160,0.012
97899362,0.302
97904692,0.13
97906639,0.046
97914505,0.1
97926301,0.346
97942846,0.126
97943037,0.022
97943692,0.044
97951308,0.198
97954716,0.108
97958316,0.134
97968393,0.072
97978256,0.126
97980657,0.142
97983179,0.082
97989606,0.044
97996906,0.13
97997743,0.046
98025458,0.664
98030569,0.044
98051462,0.066
98060852,0.056
98075520,0.042
98077443,0.088
98086092,0.112
98092859,0.104
98100465,0.154
98118618,0.06
98121949,0.206
98135138,0.07
98155617,0.084
98159762,0.068
98159910,0.078
98204673,0.048
98227591,0.038
98244217,0.108
98244461,0.102
98245714,0.032
98249538,0.022
98257196,0.142
98263666,0.07
98267066,0.23
98268228,0.262
98272436,0.08
98295387,0.134
98298612,0.07
98307972,0.126
98316052,0.052
98321188,0.078
98321213,0.012
98347851,0.108
98350402,0.242
98359039,0.12
98362272,0.044
98370563,0.07
98372151,0.018
98379842,0.058
98406312,0.214
98406472,0.194
98407574,0.07
98414021,0.16
98415044,0.04
98447827,0.106
98455963,0.022
98458406,0.04
98468631,0.094
98473568,0.122
98483695,0.128
98500526,0.048
98507217,0.144
98510066,0.078
98516040,0.016
98520810,0.06
98522022,0.076
98530139,0.08
98533128,0.094
98534156,0.062
98536781,0.094
98547889,0.074
98552092,0.016
98557338,0.1
98560778,0.012
98569529,0.034
98578040,0.414
98582942,0.022
98589363,0.152
98597873,0.028
98606594,0.346
98608545,0.002
98617174,0.236
98618636,0.004
98638167,0.248
98639978,0.254
98640635,0.164
98649430,0.19
98652132,0.038
98660877,0.104
98679737,0.244
98690808,0.106
98694452,0.07
98722965,0.068
98728989,0.022
98729054,0.096
98729862,0.012
98756088,0.176
98771128,0.038
98774578,0.052
98780729,0.084
98780961,0.07
98817678,0.01
98830172,0.09
98853967,0.178
98854790,0.144
98863880,0.2
98869701,0.15
98933999,0.09
98940045,0.052
98943457,0.008
98948556,0.092
98948898,0.024
98960875,0.024
98972350,0.064
98978953,0.008
98979837,0.248
98982042,0.122
98985536,0.08
98989354,0.31
99007932,0.022
99009821,0.536
99023617,0.098
99041364,0.488
99042981,0.062
99049371,0.032
99052215,0.084
99053222,0.018
99054626,0.03
99076683,0.104
99079085,0.058
99085266,0.108
99088916,0.282
99114273,0.028
99141808,0.072
99143581,0.092
99145173,0.37
99155175,0.066
99156631,0.114
99166968,0.028
99168900,0.138
99170002,0.074
99179690,0.482
99182385,0.038
99189457,0.128
99192640,0.14
99199294,0.058
99200219,0.068
99204915,0.118
99207087,0.092
99213071,0.258
99253356,0.026
99253904,0.02
99256986,0.034
99267162,0.046
99268492,0.07
99276213,0.016
99276258,0.022
99301422,0.03
99301445,0.096
99335551,0.08
99366105,0.018
99384181,0.02
99386122,0.428
99389472,0.06
99390699,0.024
99392800,0.08
99396196,0.15
99403154,0.24
99407558,0.004
99413981,0.092
99417437,0.048
99422901,0.12
99432960,0.074
99433321,0.234
99436808,0.56
99438936,0.088
99442536,0.172
99449686,0.122
99454490,0.174
99464501,0.028
99466928,0.048
99467086,0.006
99473788,0.214
99474795,0.03
99482362,0.206
99489703,0.134
99519547,0.082
99520743,0.1
99524114,0.018
99528079,0.08
99536703,0.268
99539341,0.16
99546209,0.036
99548009,0.056
99549749,0.084
99551428,0.154
99571910,0.046
99573627,0.08
99576143,0.274
99581585,0.088
99585314,0.102
99587040,0.252
99607609,0.106
99607995,0.088
99636526,0.06
99636847,0.346
99653842,0.134
99655352,0.03
99672908,0.136
99676942,0.016
99679784,0.172
99684160,0.118
99702838,0.05
99724049,0.144
99727041,0.184
99736772,0.076
99739279,0.506
99740099,0.082
99741118,0.028
99751832,0.042
99758333,0.07
99767313,0.21
99771734,0.028
99782530,0.078
99790924,0.02
99803432,0.012
99804794,0.162
99818613,0.076
99819933,0.216
99837541,0.048
99844671,0.024
99865907,0.132
99933343,0.194
99934935,0.06
99952257,0.164
99956841,0.024
99958058,0.122
99972977,0.072
99980160,0.032
99999754,0.104
100010021,0.044
100022923,0.036
100025687,0.066
100027361,0.064
100029473,0.266
100033640,0.138
100050424,0.132
100051316,0.12
100069605,0.04
100077437,0.09
100093033,0.072
100100562,0.424
100113511,0.112
100125490,0.026
100133594,0.028
100151656,0.1
100156512,0.182
100176987,0.34
100183752,0.07
100202528,0.03
100232207,0.244
100232553,0.142
100238616,0.07
100238856,0.054
100246099,0.068
100246283,0.338
100255803,0.026
100264302,0.388
100265234,0.16
100279600,0.478
100305541,0.058
100331940,0.096
100338169,0.004
100348187,0.07
100360298,0.034
100379060,0.004
100381617,0.08
100394137,0.076
100404560,0.178
100413035,0.104
100420503,0.026
100448489,0.1
100464951,0.162
100473423,0.722
100486048,0.126
100508199,0.266
100511883,0.028
100516198,0.03
100523725,0.05
100524264,0.072
100525728,0.578
100529342,0.016
100557971,0.008
100562032,0.112
100576901,0.35
100595372,0.022
100647865,0.756
100657488,0.24
100658315,0
100672222,0.308
100689474,0.468
100699481,0.074
100706559,0.002
100723779,0.082
100725594,0.082
100738084,0.036
100739478,0.056
100766143,0.018
100786577,0.08
100797334,0.058
100814010,0.308
100815065,0.042
100836070,0.178
100842465,0.648
100850633,0.044
100853158,0.022
100860082,0.106
100868773,0.116
100882991,0.082
100898956,0.472
100913917,0.128
100927918,0.346
100946927,0.112
100949747,0.092
100960684,0.04
100982396,0.08
100985252,0.026
100991984,0.32
100993146,0.102
101001491,0.15
101001592,0.01
101017240,0.014
101043601,0.064
101044502,0.18
101065687,0.068
101071093,0.026
101077951,0.132
101087006,0.126
101094370,0.144
101098006,0.13
101105423,0.09
101113118,0.084
101115984,0.08
101116160,0.076
101121358,0.018
101123440,0.09
101132517,0.124
101150393,0.284
101168052,0.13
101180824,0.142
101204713,0.05
101215924,0.086
101220416,0.11
101237849,0.038
101240412,0.514
101241908,0.138
101266464,0.024
101270552,0.032
101272647,0.09
101282303,0.016
101290235,0.02
101326101,0.026
101331659,0.164
101337292,0.048
101339408,0.016
101343036,0.032
101345262,0.108
101358212,0.058
101378634,0.034
101395517,0.08
101419717,0.064
101438063,0.058
101440427,0.156
101440815,0.55
101456871,0.032
101464436,0.034
101487364,0.068
101496614,0.286
101508826,0.19
101549586,0.054
101550617,0.052
101558511,0.118
101577889,0.044
101582282,0.108
101587213,0.084
101589293,0.212
101609789,0.018
101627618,0.056
101635578,0.036
101648801,0.216
101651545,0.012
101652627,0.034
101653098,0.544
101654039,0.12
101660322,0.012
101660544,0.17
101668516,0.244
101672221,0.138
101677586,0.01
101691975,0.184
101704135,0.018
101706584,0.042
101707217,0.028
101715970,0.11
101740992,0.096
101756598,0.032
101756611,0.102
101758988,0.004
101761330,0.032
101773874,0.138
101794201,0.056
101798677,0.09
101815285,0.114
101820372,0.036
101821899,0.174
101822181,0.068
101838706,0.012
101845859,0.028
101889453,0.102
101891940,0.01
101896787,0.056
101904528,0.142
101907639,0.04
101908823,0.01
101912752,0.702
101918215,0.124
101937937,0.146
101939069,0.216
101973349,0.392
101975518,0.064
101979599,0.114
101986094,0.066
102008947,0.17
102024643,0.052
102073974,0.14
102080963,0.488
102086654,0.022
102104625,0.014
102106651,0.108
102109243,0.092
102111931,0.118
102118638,0.158
102122919,0.026
102135949,0.178
102137619,0.102
102143161,0.056
102163145,0.028
102176039,0.18
102200621,0.052
102226441,0.058
102228632,0.09
102235160,0.032
102237616,0.114
102241049,0.064
102255429,0.008
102260381,0.068
102261025,0.096
102272269,0.01
102275950,0.01
102282269,0.094
102284919,0.12
102285970,0.052
102286709,0.588
102291828,0.26
102300802,0.024
102321571,0.054
102322170,0.23
102333721,0.262
102348543,0.348
102359616,0.044
102360942,0.08
102365839,0.104
102367971,0.072
102371045,0.084
102376860,0.122
102379755,0.06
102390929,0.096
102395405,0.036
102399453,0.072
102399901,0.054
102401567,0.032
102411048,0.01
102440108,0.01
102444733,0.122
102456856,0.03
102461587,0.168
102473691,0.044
102479095,0.15
102504667,0.018
102509737,0.092
102514533,0.274
102515188,0.012
102527491,0.016
102531141,0.02
102550810,0.41
102554316,0.158
102584762,0.008
102587440,0.114
102589838,0.114
102591687,0.178
102599996,0.054
102622343,0.062
102622586,0.038
102627122,0.116
102634100,0.03
102653642,0.114
102669253,0.546
102671865,0.166
102677484,0.152
102700707,0.07
102714946,0.666
102721111,0.04
102727003,0.536
102735008,0.006
102741756,0.086
102745849,0.026
102746994,0.16
102750414,0.036
102753162,0.548
102753312,0.08
102758388,0.142
102759221,0.106
102775726,0.148
102776613,0.018
102780068,0.044
102786947,0.02
102788589,0.51
102789764,0.086
102793000,0.024
102795430,0.338
102799018,0.082
102799979,0.096
102800722,0.194
102810637,0.234
102812674,0.056
102813750,0.072
102816441,0.124
102817746,0.058
102818755,0.012
102823372,0.04
102828337,0.124
102830885,0.026
102836388,0.068
102840646,0.058
102842903,0.054
102849090,0.088
102854153,0.042
102855143,0.046
102858379,0.242
102858560,0.104
102861658,0.036
102864546,0.082
102864810,0.254
102869438,0.26
102872274,0.096
102882473,0.062
102888096,0.128
102893227,0.038
102895493,0.048
102900927,0.434
102908074,0.062
102911980,0.096
102915870,0.09
102925750,0.624
102929282,0.064
102929854,0.068
102930551,0.026
102931806,0.338
102939371,0.178
102941851,0.07
102947222,0.278
102957790,0.06
102958655,0.014
102961088,0.076
102961601,0.06
102963694,0.058
102966586,0.122
102968898,0.034
102986134,0.186
102988091,0.002
102990034,0.354
102992595,0.116
103000607,0.114
103003582,0.018
103005136,0.1
103005408,0.108
103007387,0.092
103014620,0.062
103015314,0.146
103018836,0.042
103032136,0.168
103032690,0.022
103037360,0.058
103043671,0.542
103048600,0.012
103055436,0.056
103061589,0.014
103065881,0.056
103067058,0.1
103068518,0.162
103068790,0.084
103074243,0.134
103074552,0.022
103075670,0.046
103085830,0.044
103089594,0.702
103090481,0.124
103090565,0.38
103095521,0.018
103098133,0.064
103100650,0.72
103101618,0.118
103115404,0.03
103116748,0.118
103118966,0.132
103119145,0.114
103120283,0.178
103121713,0.196
103122875,0.202
103133367,0.05
103135918,0.04
103139881,0.182
103145245,0.11
103147121,0.068
103149842,0.024
103152383,0.07
103158476,0.098
103161690,0.392
103161963,0.212
103167205,0.116
103178304,0.07
103179703,0.22
103180976,0.038
103182729,0.262
103183752,0.396
103185415,0.072
103192126,0.074
103192549,0.16
103196356,0.064
103199261,0.32
103210771,0.23
103212660,0.11
103218800,0.128
103224703,0.29
103225729,0.092
103227194,0.022
103234832,0.008
103236818,0.252
103238569,0.178
103248997,0.152
103249375,0.056
103255793,0.006
103257661,0.088
103259324,0.416
103264143,0.058
103271348,0.164
103271414,0.002
103273120,0.01
103278563,0.042
103288646,0.152
103288988,0.13
103305378,0.044
103307819,0.078
103308211,0.056
103312863,0.33
103315936,0.446
103319818,0.128
103321554,0.074
103336074,0.082
103342779,0.046
103346710,0.156
103347713,0.1
103350869,0.52
103352841,0.038
103359707,0.162
103360508,0.046
103361125,0.156
103361664,0.106
103379301,0.006
103383526,0.198
103399546,0.01
103414704,0.298
103417048,0.03
103417526,0.084
103420324,0.028
103421464,0.048
103422674,0.128
103425105,0.116
103430075,0.056
103440262,0.108
103441759,0.036
103443835,0.022
103445550,0.048
103451692,0.056
103454359,0.224
103459820,0.078
103461095,0.082
103461098,0.002
103468010,0.054
103473095,0.022
103476165,0.108
103476532,0.142
103486992,0.116
103489564,0.074
103493452,0.194
103495474,0.104
103502990,0.08
103509224,0.21
103509470,0.442
103510140,0.326
103512931,0.284
103513699,0.174
103533708,0.012
103538850,0.048
103539519,0.408
103541494,0.044
103541676,0.148
103542328,0.062
103549894,0.036
103550760,0.052
103554251,0.158
103560288,0.092
103563607,0.044
103566845,0.044
103568297,0.076
103574864,0.014
103578365,0.144
103580546,0.094
103582976,0.088
103583401,0.228
103584228,0.01
103587695,0.018
103588109,0.056
103612400,0.078
103625482,0.054
103627501,0.298
103628032,0.062
103645806,0.092
103646573,0.11
103651184,0.066
103651676,0.164
103652943,0.06
103652987,0.106
103656130,0.098
103659063,0.138
103670382,0.08
103672286,0.004
103672779,0.142
103680586,0.016
103692003,0.046
103693010,0.008
103694821,0.01
103700399,0.084
103703616,0.082
103704418,0.098
103705477,0.122
103711007,0.062
103712480,0.092
103712901,0.316
103718220,0.212
103722961,0.02
103724013,0.32
103734953,0.012
103746342,0.078
103751250,0.256
103764003,0.116
103764218,0.182
103767193,0.038
103771965,0.124
103777850,0.076
103781001,0.106
103787780,0.004
103792119,0.086
103792945,0.188
103812601,0.014
103822218,0.134
103828843,0.096
103831778,0.074
103838756,0.24
103839083,0.022
103839557,0.176
103844921,0.318
103849933,0.11
103851286,0.136
103874280,0.034
103875741,0.072
103876742,0.12
103876972,0.364
103880935,0.12
103883532,0.474
103886967,0.044
103889254,0.37
103905633,0.126
103909434,0.158
103914665,0.062
103917535,0.098
103919876,0.022
103924013,0.014
103934323,0.012
103934588,0.094
103934799,0.076
103941320,0.054
103949882,0.126
103957639,0.082
103960356,0.066
103960805,0.088
103969293,0.076
103973413,0.132
103976727,0.094
103985246,0.11
103986659,0.114
103992062,0.024
103995617,0.024
103997998,0.146
103998129,0.088
104001111,0.092
104017133,0.022
104017350,0.084
104017613,0.388
104027451,0.014
104028396,0.134
104031802,0.03
104042256,0.016
104042897,0.064
104049875,0.056
104050573,0.102
104061879,0.088
104064604,0.102
104078344,0.144
104080625,0.032
104080982,0.036
104089021,0.19
104092243,0.126
104096558,0.096
104096619,0.12
104105500,0.026
104108559,0.066
104110599,0.108
104112760,0.156
104125750,0.038
104129331,0.184
104132626,0.038
104133567,0.08
104136064,0.022
104146665,0.092
104153423,0.006
104154224,0.078
104159450,0.038
104162861,0.108
104179216,0.012
104181479,0.16
104195275,0.01
104195534,0.016
104202474,0.04
104203403,0.04
104205064,0.092
104206319,0.1
104206698,0.054
104207164,0.12
104207669,0.086
104208593,0.018
104211952,0.046
104213813,0.06
104214602,0.158
104222376,0.074
104229280,0.328
104230121,0.042
104237409,0.102
104240491,0.284
104241353,0.154
104250087,0.042
104255762,0.024
104261955,0.19
104263459,0.084
104264160,0.06
104275120,0.222
104279880,0.276
104286217,0.23
104288116,0.138
104296648,0.128
104299661,0.008
104305180,0.15
104313387,0.298
104314498,0.022
104316115,0.12
104318025,0.13
104321220,0.014
104324154,0.142
104329897,0.046
104335123,0.076
104335833,0.02
104342993,0.11
104350952,0.09
104353685,0.004
104355884,0.014
104361192,0.088
104362861,0.068
104370698,0.058
104376546,0.314
104377125,0.022
104379554,0.076
104382721,0.018
104384387,0.136
104388583,0.112
104394419,0.45
104394907,0.07
104395640,0.098
104396416,0.05
104396462,0.016
104408644,0.252
104412607,0.106
104413709,0.098
104415039,0.228
104415170,0.216
104423683,0.036
104424535,0.086
104424764,0.062
104427819,0.078
104428719,0.062
104438256,0.042
104439074,0.172
104444102,0.106
104454354,0.346
104458956,0.016
104458974,0.056
104467737,0.044
104474239,0.12
104484178,0.012
104485275,0.076
104488391,0.018
104492215,0.056
104492807,0.038
104497908,0.004
104500030,0.02
104504305,0.012
104507870,0.014
104510075,0.128
104512887,0.114
104525196,0.064
104527629,0.566
104528938,0.062
104530455,0.092
104537731,0.038
104542166,0.022
104560220,0.052
104571610,0.112
104576347,0.03
104580955,0.04
104590969,0.166
104593845,0.236
104599980,0.054
104607811,0.014
104608112,0.108
104611025,0.202
104617413,0.45
104618126,0.044
104619158,0.006
104620643,0.12
104624564,0.034
104626755,0.078
104628502,0.062
104630215,0.132
104635284,0.2
104642471,0.294
104647415,0.172
104647574,0.034
